PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,MiddleName,Count,Family_Group,Family_Survival_Rate,TicketNumeric,SurvivalScore
892,3,0,0,34.5,0,0,330911,-0.497213264973664,,2,Mr,0.0,152.0,0.5,0.5270746303107058,-0.6974408024796472
893,3,2,1,47.0,1,0,363272,-0.5120448863147627,,0,Mrs,1.0,221.0,1.0,0.6260143364190405,0.9863852625984341
894,2,0,0,62.0,0,0,240276,-0.4639744782657966,,2,Mr,0.0,73.0,0.5,0.24996946473705495,-0.3245489344655277
895,3,0,0,27.0,0,0,315154,-0.482308308312379,,0,Mr,0.0,147.0,0.5,0.47889957548702816,-0.6873373584690332
896,3,2,1,22.0,1,1,3101298,-0.4174691532695875,,0,Mrs,2.0,138.0,1.0,8.997186047953887,0.12927161979735335
897,3,0,0,14.0,0,0,7538,-0.47224706011608375,,0,Mr,0.0,260.0,0.5,-0.4615978329435358,-0.57155990748044
898,3,1,1,30.0,0,0,330972,-0.5007905976656801,,2,Miss,0.0,158.0,1.0,0.5272611301738932,0.6714993910560857
899,2,0,0,26.0,1,1,248738,-0.11853829019299361,,0,Mr,2.0,84.0,0.5,0.2758409703483997,-0.1074770205977762
900,3,2,1,18.0,0,0,2657,-0.5079452630497123,,1,Mrs,0.0,100.0,1.0,-0.47652087937333654,1.119878379240384
901,3,0,0,21.0,2,0,A,-0.20528860797438364,,0,Mr,2.0,267.0,0.5,-0.48464432423381193,-0.4913763774045138
902,3,0,0,,0,0,349220,-0.49602201318722267,,0,Mr,0.0,195.0,0.5,0.5830521056401918,-0.7038126365011175
903,1,0,0,46.0,0,0,694,-0.17219828057323486,,0,Mr,0.0,258.0,0.5,-0.48252250611820413,0.17796519936794641
904,1,2,1,23.0,1,0,21228,0.8342252463360718,B45,0,Mrs,3.0,52.0,0.75,-0.4197423718445864,1.9122944060588112
905,2,0,0,63.0,1,0,24065,-0.17219828057323486,,0,Mr,3.0,74.0,0.75,-0.41106859951896774,0.08939073057603797
906,1,2,1,47.0,1,0,WEP,0.45696510663509365,E31,0,Mrs,1.0,340.0,1.0,-0.48464432423381193,2.060677199832235
907,2,2,1,24.0,1,0,SCPARIS,-0.14141891009112845,,1,Mrs,1.0,323.0,1.0,-0.48464432423381193,1.5571458349816303
908,2,0,0,35.0,0,0,233734,-0.41635123680333247,,2,Mr,0.0,60.0,0.5,0.2299681187539047,-0.308338032923435
909,3,0,0,21.0,0,0,2692,-0.5080203870362445,,1,Mr,0.0,119.0,0.5,-0.4764138712551142,-0.5801562476898972
910,3,1,1,27.0,1,0,STONO,-0.4954997226141883,,0,Miss,3.0,335.0,0.6666666666666666,-0.48464432423381193,0.4611290660166096
911,3,2,1,45.0,0,0,2696,-0.5080203870362445,,1,Mrs,0.0,120.0,1.0,-0.47640164175588884,1.1198422847701959
912,1,0,0,55.0,1,0,PC,0.42521627899345094,,1,Mr,1.0,299.0,0.5,-0.48464432423381193,0.35147003981615815
913,3,3,0,9.0,0,1,C,-0.5805364980361026,,0,Master,1.0,270.0,0.5,-0.48464432423381193,0.5098017344775877
914,1,2,1,,0,0,PC,-0.07054300613055985,,0,Mrs,0.0,295.0,1.0,-0.48464432423381193,1.9076998471301951
915,1,0,0,21.0,0,1,PC,0.46061756331364206,,1,Mr,1.0,300.0,0.5,-0.48464432423381193,0.4817364122690136
916,1,2,1,48.0,1,3,PC,4.0557617948032725,B57 B59 B63 B66,1,Mrs,16.0,312.0,0.8,-0.48464432423381193,3.2643282394010065
917,3,0,0,50.0,1,0,A,-0.3778949103641596,,0,Mr,7.0,266.0,0.5,-0.48464432423381193,-0.5414322050975489
918,1,1,1,22.0,0,1,113509,0.4713495613896903,B36,1,Miss,1.0,14.0,1.0,-0.13760476733968133,1.813203944883772
919,3,0,0,22.5,0,0,2698,-0.5080203870362445,,1,Mr,0.0,121.0,0.5,-0.47639552700627613,-0.5801584489997578
920,1,0,0,41.0,0,0,113054,-0.09170829500287299,A21,0,Mr,0.0,11.0,0.5,-0.13899587287657117,0.16008409919435534
921,3,0,0,,2,0,2662,-0.24948297605155026,,1,Mr,5.0,104.0,0.5,-0.47650559249930474,-0.5051693919550331
922,2,0,0,50.0,1,0,SCAH,-0.17219828057323486,,0,Mr,3.0,318.0,0.75,-0.48464432423381193,0.0982198175418193
923,2,0,0,24.0,2,0,CA,-0.07382163154279257,,0,Mr,6.0,282.0,0.5,-0.48464432423381193,-0.1232509542393525
